,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
2016,109823,Female,Loyal Customer,58,Business travel,Business,2553,3,3,2,3,5,4,5,2,2,2,2,3,2,4,72,63,satisfied
2017,42949,Female,Loyal Customer,48,Business travel,Business,1895,2,2,2,2,2,1,1,4,4,4,4,3,4,4,6,4,satisfied
2018,118663,Female,Loyal Customer,17,Business travel,Business,646,4,5,5,5,4,4,4,4,1,3,2,2,3,4,5,9,neutral or dissatisfied
2019,88839,Male,Loyal Customer,49,Personal Travel,Eco Plus,594,2,1,2,3,4,2,4,4,2,2,3,4,3,4,0,0,neutral or dissatisfied
2020,122697,Male,Loyal Customer,49,Personal Travel,Eco,361,4,4,4,4,5,4,5,5,4,3,5,3,5,5,0,0,neutral or dissatisfied
2021,37455,Female,Loyal Customer,23,Business travel,Business,2520,1,1,1,1,5,5,5,5,2,5,4,1,4,5,0,0,satisfied
2022,12805,Female,Loyal Customer,12,Business travel,Business,2725,2,2,2,2,4,4,4,4,1,5,5,4,3,4,129,122,satisfied
2023,8581,Male,Loyal Customer,85,Business travel,Business,1904,3,2,2,2,2,3,3,1,2,3,3,3,1,3,14,7,neutral or dissatisfied
2024,96110,Male,Loyal Customer,26,Personal Travel,Eco,1069,3,5,3,3,5,3,5,5,4,3,4,5,5,5,17,21,neutral or dissatisfied
2025,30791,Female,Loyal Customer,59,Personal Travel,Eco,895,2,4,1,5,1,1,1,5,2,5,4,1,3,1,204,196,neutral or dissatisfied
2026,6417,Female,Loyal Customer,38,Personal Travel,Eco,296,4,4,4,3,2,4,5,2,4,3,5,5,5,2,42,29,neutral or dissatisfied
2027,110242,Male,Loyal Customer,31,Business travel,Business,1011,2,2,2,2,2,2,2,2,3,3,3,2,3,2,20,14,neutral or dissatisfied
2028,79344,Female,Loyal Customer,43,Business travel,Business,2191,4,4,4,4,3,4,5,4,4,4,4,3,4,2,0,0,satisfied
2029,4122,Female,Loyal Customer,71,Business travel,Business,431,3,5,5,5,4,3,2,3,3,2,3,4,3,3,0,0,neutral or dissatisfied
2030,10909,Female,disloyal Customer,49,Business travel,Eco,216,3,4,3,3,4,3,4,4,1,1,3,1,4,4,0,23,neutral or dissatisfied
2031,5503,Female,Loyal Customer,67,Personal Travel,Eco,948,2,0,2,4,2,5,5,5,5,2,5,4,5,5,18,24,neutral or dissatisfied
2032,112537,Male,Loyal Customer,28,Personal Travel,Eco,957,2,1,2,4,1,2,1,1,1,3,4,3,4,1,3,5,neutral or dissatisfied
2033,71794,Female,disloyal Customer,22,Business travel,Eco,1723,5,5,5,5,2,5,2,2,4,4,4,3,4,2,0,0,satisfied
2034,97690,Female,disloyal Customer,11,Business travel,Eco,491,3,5,3,3,4,3,3,4,4,3,5,3,4,4,0,0,neutral or dissatisfied
2035,67068,Male,Loyal Customer,58,Business travel,Eco,1017,1,4,4,4,1,1,1,1,4,1,3,1,4,1,19,0,neutral or dissatisfied
2036,42309,Female,Loyal Customer,9,Personal Travel,Eco,817,2,2,2,3,2,2,1,2,1,1,3,3,3,2,0,0,neutral or dissatisfied
2037,29199,Female,Loyal Customer,23,Personal Travel,Eco Plus,679,1,5,1,2,5,1,5,5,4,3,4,5,5,5,0,0,neutral or dissatisfied
2038,65770,Female,Loyal Customer,69,Personal Travel,Eco Plus,936,3,5,3,1,4,5,4,3,3,3,3,3,3,5,1,0,neutral or dissatisfied
2039,87499,Male,Loyal Customer,19,Business travel,Business,321,3,1,1,1,3,3,3,3,4,5,3,1,4,3,0,0,neutral or dissatisfied
2040,118654,Male,Loyal Customer,60,Business travel,Business,370,2,1,2,1,1,3,3,2,2,1,2,3,2,4,4,1,neutral or dissatisfied
2041,106086,Male,Loyal Customer,48,Business travel,Business,302,0,0,0,1,4,4,4,2,2,4,4,4,2,4,18,10,satisfied
2042,41821,Male,Loyal Customer,48,Personal Travel,Eco,489,2,3,2,2,5,2,4,5,4,4,5,5,4,5,0,0,neutral or dissatisfied
2043,26073,Female,disloyal Customer,26,Business travel,Eco,591,4,3,4,1,4,4,4,4,2,1,5,5,2,4,3,0,neutral or dissatisfied
2044,111139,Female,Loyal Customer,23,Business travel,Business,3264,3,2,2,2,3,3,3,3,4,4,4,1,3,3,0,0,neutral or dissatisfied
2045,44805,Female,Loyal Customer,47,Business travel,Eco,1041,2,2,2,2,1,4,4,2,2,2,2,2,2,2,4,20,neutral or dissatisfied
2046,129129,Male,Loyal Customer,52,Business travel,Business,954,5,5,5,5,5,4,4,5,5,5,5,4,5,4,0,0,satisfied
2047,85849,Male,disloyal Customer,21,Business travel,Eco,666,2,0,3,4,5,3,5,5,4,4,4,4,4,5,0,0,neutral or dissatisfied
2048,113737,Female,Loyal Customer,7,Personal Travel,Eco,223,3,5,3,3,3,3,3,3,3,5,4,3,4,3,11,18,neutral or dissatisfied
2049,70440,Male,Loyal Customer,41,Business travel,Eco,187,3,2,2,2,3,3,3,3,3,2,4,3,3,3,1,4,neutral or dissatisfied
2050,26661,Female,disloyal Customer,22,Business travel,Eco,404,2,0,2,3,5,2,5,5,2,2,5,1,5,5,0,17,neutral or dissatisfied
2051,114052,Female,Loyal Customer,40,Business travel,Business,1947,3,3,5,3,4,3,4,5,5,5,5,5,5,3,21,7,satisfied
2052,43542,Female,Loyal Customer,42,Business travel,Eco,393,4,4,4,4,1,4,3,4,4,4,4,4,4,3,11,1,satisfied
2053,74646,Male,Loyal Customer,59,Personal Travel,Eco,1464,3,3,3,4,5,3,5,5,2,1,3,3,3,5,67,50,neutral or dissatisfied
2054,27341,Male,Loyal Customer,46,Business travel,Business,3128,4,2,4,4,1,1,1,2,2,2,2,5,2,2,0,4,satisfied
2055,105035,Male,disloyal Customer,23,Business travel,Eco,361,2,0,2,4,4,2,4,4,3,3,5,4,4,4,5,0,neutral or dissatisfied
2056,21799,Male,Loyal Customer,36,Business travel,Business,241,1,1,5,1,3,4,3,1,1,1,1,2,1,4,0,0,neutral or dissatisfied
2057,23454,Female,Loyal Customer,27,Business travel,Eco,516,1,4,2,2,1,1,1,1,4,2,4,3,3,1,43,40,neutral or dissatisfied
2058,84381,Female,disloyal Customer,37,Business travel,Eco,606,2,3,2,3,5,2,5,5,2,2,3,1,3,5,0,0,neutral or dissatisfied
2059,1603,Male,Loyal Customer,28,Personal Travel,Eco,140,2,4,2,4,5,2,5,5,3,5,3,1,4,5,10,14,neutral or dissatisfied
2060,86323,Female,Loyal Customer,57,Business travel,Business,2591,3,3,3,3,5,4,5,4,4,4,4,3,4,5,0,0,satisfied
2061,116965,Male,Loyal Customer,42,Business travel,Business,3376,5,5,5,5,3,5,4,5,5,5,5,5,5,4,69,55,satisfied
2062,37636,Female,Loyal Customer,37,Personal Travel,Eco,1041,3,5,3,3,3,3,3,3,3,4,5,5,5,3,0,0,neutral or dissatisfied
2063,17855,Female,disloyal Customer,26,Business travel,Business,425,0,0,0,1,2,0,2,2,5,5,4,3,4,2,0,0,satisfied
2064,95169,Female,Loyal Customer,34,Personal Travel,Eco,148,4,4,4,3,5,4,5,5,5,4,5,5,4,5,38,26,neutral or dissatisfied
2065,30115,Male,Loyal Customer,33,Personal Travel,Eco,95,2,4,2,5,5,2,5,5,3,3,2,3,5,5,0,0,neutral or dissatisfied
2066,114820,Female,Loyal Customer,56,Business travel,Business,447,5,5,5,5,2,4,5,4,4,4,4,4,4,3,4,0,satisfied
2067,105567,Female,Loyal Customer,35,Business travel,Business,577,2,2,2,2,5,5,4,4,4,4,4,5,4,5,21,7,satisfied
2068,17915,Female,Loyal Customer,44,Business travel,Eco,789,4,1,1,1,3,4,4,4,4,4,4,3,4,4,113,98,satisfied
2069,23116,Male,Loyal Customer,45,Business travel,Eco,250,5,2,3,2,5,5,5,5,3,4,5,3,4,5,0,0,satisfied
2070,49234,Male,Loyal Customer,45,Business travel,Eco,190,4,4,4,4,4,4,4,4,3,5,4,1,5,4,0,0,satisfied
2071,75590,Male,disloyal Customer,47,Business travel,Eco,337,3,4,2,4,1,2,1,1,4,3,3,2,4,1,10,7,neutral or dissatisfied
2072,54943,Female,disloyal Customer,23,Business travel,Eco,700,2,2,2,5,3,2,3,3,5,5,4,5,5,3,0,0,neutral or dissatisfied
2073,27446,Male,Loyal Customer,55,Business travel,Eco,672,3,3,3,3,4,3,4,4,4,1,3,1,3,4,0,0,neutral or dissatisfied
2074,62243,Female,Loyal Customer,7,Personal Travel,Eco,2454,3,3,3,1,3,3,3,3,1,1,1,2,2,3,0,0,neutral or dissatisfied
2075,91443,Male,Loyal Customer,32,Business travel,Business,859,5,5,5,5,4,4,4,3,3,5,5,4,3,4,435,470,satisfied
2076,28672,Female,Loyal Customer,31,Personal Travel,Eco Plus,2409,3,3,2,3,4,2,4,4,1,1,3,2,3,4,0,0,neutral or dissatisfied
2077,101809,Female,Loyal Customer,60,Business travel,Business,1521,3,3,3,3,5,5,5,4,5,5,5,5,5,5,166,264,satisfied
2078,68631,Female,Loyal Customer,57,Business travel,Business,3425,5,5,4,5,5,4,4,5,5,5,5,4,5,3,0,0,satisfied
2079,93224,Female,disloyal Customer,39,Business travel,Business,1460,4,4,4,3,3,4,3,3,3,4,3,2,3,3,24,16,neutral or dissatisfied
2080,56970,Male,Loyal Customer,44,Personal Travel,Eco,2454,2,3,3,4,3,4,4,2,2,3,3,4,2,4,22,25,neutral or dissatisfied
2081,29922,Female,disloyal Customer,22,Business travel,Eco,571,3,0,2,3,4,2,4,4,4,1,4,4,5,4,0,0,neutral or dissatisfied
2082,110649,Female,disloyal Customer,26,Business travel,Business,1005,2,5,2,1,2,2,2,2,4,5,5,4,5,2,39,33,neutral or dissatisfied
2083,58263,Male,Loyal Customer,33,Business travel,Eco Plus,2072,3,2,2,2,3,3,3,3,1,2,3,1,3,3,9,0,neutral or dissatisfied
2084,72836,Male,disloyal Customer,40,Personal Travel,Eco,1013,1,2,1,4,1,1,1,1,1,4,4,4,3,1,0,0,neutral or dissatisfied
2085,64404,Male,Loyal Customer,45,Business travel,Business,3469,4,4,4,4,2,5,5,4,4,4,4,3,4,3,0,0,satisfied
2086,108357,Male,disloyal Customer,17,Business travel,Eco,1324,1,1,1,4,4,1,4,4,3,4,4,2,4,4,49,40,neutral or dissatisfied
2087,32305,Male,Loyal Customer,42,Business travel,Eco,121,4,3,3,3,4,4,4,4,5,2,1,3,1,4,0,0,satisfied
2088,98747,Female,Loyal Customer,59,Personal Travel,Eco,1558,2,4,3,3,5,3,5,4,4,3,4,3,4,4,6,12,neutral or dissatisfied
2089,99409,Female,Loyal Customer,42,Business travel,Business,2226,4,4,4,4,5,4,5,4,4,4,4,3,4,5,9,9,satisfied
2090,30382,Male,Loyal Customer,34,Business travel,Business,2551,5,2,2,2,2,4,3,5,5,4,5,4,5,3,14,9,neutral or dissatisfied
2091,14836,Male,Loyal Customer,50,Business travel,Business,261,2,2,2,2,2,2,4,5,5,5,5,3,5,2,0,0,satisfied
2092,98087,Male,Loyal Customer,57,Business travel,Business,845,5,5,5,5,3,5,4,4,4,4,4,3,4,5,0,0,satisfied
2093,91967,Male,Loyal Customer,29,Personal Travel,Eco,2475,2,1,2,2,5,2,5,5,4,3,2,4,2,5,0,0,neutral or dissatisfied
2094,14032,Male,Loyal Customer,44,Business travel,Business,717,4,4,4,4,2,1,5,5,5,5,5,3,5,2,0,0,satisfied
2095,105394,Female,Loyal Customer,62,Personal Travel,Eco,369,3,4,3,2,4,3,4,3,3,3,3,1,3,5,5,7,neutral or dissatisfied
2096,114025,Male,Loyal Customer,8,Business travel,Eco Plus,1844,4,1,1,1,4,4,3,4,3,5,2,3,3,4,0,0,neutral or dissatisfied
2097,15387,Male,Loyal Customer,33,Business travel,Business,1907,5,5,5,5,4,4,4,4,5,4,1,3,1,4,0,0,satisfied
2098,70553,Male,Loyal Customer,48,Business travel,Business,3478,3,3,3,3,5,5,5,3,3,3,3,3,3,4,0,9,satisfied
2099,46968,Male,Loyal Customer,36,Personal Travel,Eco,848,3,5,3,3,2,3,2,2,3,3,5,5,4,2,14,0,neutral or dissatisfied
2100,100345,Female,Loyal Customer,49,Personal Travel,Eco,1092,4,2,4,4,4,4,3,1,1,4,1,4,1,2,0,0,satisfied
2101,77495,Male,Loyal Customer,63,Business travel,Eco,589,4,2,5,2,4,4,4,4,5,2,1,5,3,4,0,0,satisfied
2102,47211,Female,Loyal Customer,63,Personal Travel,Eco,679,1,1,1,3,5,3,3,3,3,1,3,4,3,3,0,0,neutral or dissatisfied
2103,27076,Male,Loyal Customer,54,Business travel,Eco,2496,2,5,5,5,3,2,3,3,4,2,4,3,4,3,16,2,satisfied
2104,110801,Female,Loyal Customer,16,Personal Travel,Eco,849,3,5,3,2,2,3,2,2,3,5,5,3,5,2,0,0,neutral or dissatisfied
2105,37945,Female,Loyal Customer,29,Business travel,Eco Plus,937,0,0,0,2,5,0,5,5,4,1,4,2,3,5,22,20,satisfied
2106,115666,Male,Loyal Customer,39,Business travel,Eco,333,2,1,1,1,2,2,2,2,2,4,4,2,3,2,0,0,neutral or dissatisfied
2107,22192,Female,disloyal Customer,27,Business travel,Eco,633,4,0,4,2,1,4,4,1,5,4,1,1,4,1,0,0,satisfied
2108,116374,Female,Loyal Customer,24,Personal Travel,Eco,417,2,1,2,2,5,2,5,5,1,4,2,1,2,5,1,,neutral or dissatisfied
2109,59621,Male,disloyal Customer,8,Business travel,Eco,787,3,3,3,1,4,3,4,4,4,2,5,3,4,4,0,0,neutral or dissatisfied
2110,66213,Female,Loyal Customer,35,Business travel,Business,460,2,3,5,3,1,4,4,2,2,2,2,3,2,1,0,0,neutral or dissatisfied
2111,50455,Female,Loyal Customer,43,Business travel,Eco,262,5,3,3,3,4,5,1,5,5,5,5,1,5,3,0,0,satisfied
2112,109267,Female,Loyal Customer,34,Personal Travel,Eco Plus,391,1,2,1,3,1,1,1,1,2,2,3,3,3,1,0,0,neutral or dissatisfied
2113,49345,Male,disloyal Customer,22,Business travel,Eco,109,2,5,2,1,2,2,2,2,1,2,4,3,2,2,5,3,neutral or dissatisfied
2114,78910,Female,Loyal Customer,13,Business travel,Business,930,4,3,5,3,4,4,4,4,3,2,4,4,4,4,8,0,neutral or dissatisfied
2115,62143,Female,Loyal Customer,35,Business travel,Business,2565,5,2,5,5,5,5,5,3,5,5,5,5,3,5,177,149,satisfied
2116,34788,Male,Loyal Customer,16,Personal Travel,Eco,301,2,5,2,4,5,2,5,5,5,5,4,5,4,5,28,38,neutral or dissatisfied
2117,79166,Female,Loyal Customer,48,Business travel,Business,2422,2,2,2,2,4,4,4,5,3,5,4,4,4,4,0,0,satisfied
2118,54145,Male,Loyal Customer,22,Business travel,Eco,1400,4,5,5,5,4,5,4,4,2,1,3,1,3,4,2,0,satisfied
2119,22803,Male,disloyal Customer,35,Business travel,Eco,302,3,2,3,4,3,3,3,3,2,5,4,3,4,3,0,0,neutral or dissatisfied
2120,39066,Female,Loyal Customer,49,Business travel,Eco,784,5,3,3,3,1,4,3,5,5,5,5,4,5,4,111,110,satisfied
2121,2953,Male,disloyal Customer,24,Business travel,Eco,737,0,0,0,1,2,0,4,2,5,2,4,5,5,2,0,2,satisfied
2122,118883,Female,Loyal Customer,40,Personal Travel,Eco Plus,1136,3,5,3,3,4,3,4,4,5,2,5,5,4,4,29,17,neutral or dissatisfied
2123,8606,Male,Loyal Customer,37,Personal Travel,Eco Plus,109,3,1,3,2,4,3,4,4,2,1,3,1,2,4,0,0,neutral or dissatisfied
2124,30989,Female,Loyal Customer,39,Personal Travel,Eco Plus,1476,2,3,2,3,1,2,1,1,4,2,3,2,3,1,0,0,neutral or dissatisfied
2125,93201,Female,Loyal Customer,22,Personal Travel,Eco,896,4,4,5,3,4,5,3,4,1,3,3,3,3,4,12,0,neutral or dissatisfied
2126,67226,Female,Loyal Customer,27,Personal Travel,Eco,929,1,5,1,1,5,1,1,5,4,1,1,1,5,5,5,0,neutral or dissatisfied
2127,31246,Male,Loyal Customer,18,Personal Travel,Eco,472,2,3,2,5,2,2,2,2,2,2,1,5,2,2,28,18,neutral or dissatisfied
2128,53810,Male,disloyal Customer,20,Business travel,Eco,140,1,5,1,3,4,1,5,4,3,5,1,1,5,4,0,0,neutral or dissatisfied
2129,33547,Male,disloyal Customer,61,Business travel,Eco,399,3,3,3,5,4,3,1,4,4,2,3,1,3,4,1,4,neutral or dissatisfied
2130,31792,Male,Loyal Customer,43,Business travel,Business,2640,4,4,4,4,5,5,5,2,4,4,1,5,4,5,3,10,satisfied
2131,109044,Male,Loyal Customer,38,Business travel,Eco,849,1,1,1,1,1,1,1,1,2,4,4,2,4,1,6,8,neutral or dissatisfied
2132,84959,Male,Loyal Customer,64,Personal Travel,Eco Plus,481,2,2,3,3,2,3,2,2,3,4,2,1,3,2,67,78,neutral or dissatisfied
2133,51434,Female,Loyal Customer,42,Personal Travel,Eco Plus,373,1,4,1,4,4,5,4,1,1,1,1,5,1,3,6,10,neutral or dissatisfied
2134,128601,Female,Loyal Customer,30,Business travel,Business,679,2,2,2,2,5,5,5,5,4,5,4,3,4,5,0,0,satisfied
2135,73783,Male,Loyal Customer,41,Business travel,Business,192,5,5,5,5,4,5,5,4,4,4,4,3,4,5,6,0,satisfied
2136,27310,Male,disloyal Customer,39,Business travel,Eco,671,4,4,4,4,1,4,1,1,2,1,4,1,5,1,0,0,neutral or dissatisfied
2137,77412,Female,Loyal Customer,30,Personal Travel,Eco,588,1,1,0,2,4,0,4,4,1,1,2,4,3,4,0,0,neutral or dissatisfied
2138,71880,Female,Loyal Customer,29,Personal Travel,Eco,1846,3,4,3,4,4,3,4,4,3,2,4,1,4,4,0,7,neutral or dissatisfied
2139,92153,Female,Loyal Customer,26,Business travel,Eco Plus,1535,3,4,4,4,3,3,1,3,3,5,3,3,4,3,31,53,neutral or dissatisfied
2140,23223,Female,Loyal Customer,45,Business travel,Business,476,4,4,4,4,5,5,5,4,4,4,4,5,4,4,60,53,satisfied
2141,57446,Male,Loyal Customer,38,Business travel,Business,334,3,3,3,3,2,5,4,4,4,4,4,4,4,4,25,45,satisfied
2142,34018,Male,Loyal Customer,31,Personal Travel,Eco,1598,1,5,0,1,3,0,3,3,4,5,4,4,5,3,46,50,neutral or dissatisfied
2143,79125,Male,Loyal Customer,25,Personal Travel,Eco,356,1,5,1,2,3,1,3,3,3,5,4,5,5,3,0,0,neutral or dissatisfied
2144,83519,Male,Loyal Customer,44,Personal Travel,Eco,946,3,2,3,3,4,3,4,4,4,5,3,4,4,4,0,10,neutral or dissatisfied
2145,33984,Female,Loyal Customer,31,Business travel,Business,1598,4,4,4,4,4,4,4,4,1,5,2,1,4,4,0,0,neutral or dissatisfied
2146,19147,Female,Loyal Customer,67,Personal Travel,Business,304,1,5,1,1,3,5,4,4,4,1,4,5,4,3,0,0,neutral or dissatisfied
2147,115784,Male,Loyal Customer,53,Business travel,Business,2819,5,5,1,5,2,4,4,4,4,4,4,5,4,3,0,0,satisfied
2148,105217,Female,Loyal Customer,49,Business travel,Business,377,4,4,4,4,3,5,5,5,5,5,5,3,5,4,13,6,satisfied
2149,109207,Male,Loyal Customer,50,Business travel,Business,2832,3,5,3,3,3,4,5,4,4,5,4,5,4,3,1,1,satisfied
2150,13856,Female,Loyal Customer,18,Personal Travel,Eco Plus,583,3,4,3,1,4,3,1,4,5,3,5,3,4,4,35,27,neutral or dissatisfied
2151,76447,Male,Loyal Customer,34,Business travel,Business,481,2,2,2,2,5,5,5,5,5,5,5,3,5,3,2,14,satisfied
2152,47209,Female,Loyal Customer,68,Personal Travel,Eco,748,2,3,2,2,3,5,3,2,2,2,4,2,2,4,0,0,neutral or dissatisfied
2153,51605,Male,Loyal Customer,48,Business travel,Eco,451,4,2,2,2,4,4,4,4,1,4,2,5,1,4,0,0,satisfied
2154,120702,Male,Loyal Customer,19,Personal Travel,Eco,280,1,1,1,4,4,1,1,4,3,1,3,1,3,4,4,0,neutral or dissatisfied
2155,77277,Female,Loyal Customer,59,Business travel,Eco,1931,2,2,2,2,1,3,3,1,1,2,1,2,1,1,64,35,neutral or dissatisfied
2156,84135,Male,Loyal Customer,42,Business travel,Business,3777,2,2,1,2,2,4,5,5,5,5,5,5,5,5,1,0,satisfied
2157,39810,Female,disloyal Customer,27,Business travel,Eco,272,2,4,2,1,3,2,4,3,1,2,1,4,3,3,0,3,neutral or dissatisfied
2158,28636,Female,Loyal Customer,25,Business travel,Business,2676,4,4,4,4,3,3,3,3,5,5,3,5,2,3,11,0,satisfied
2159,119614,Female,disloyal Customer,26,Business travel,Eco Plus,1979,1,1,1,4,4,1,4,4,2,5,2,4,4,4,20,0,neutral or dissatisfied
2160,12651,Male,Loyal Customer,18,Personal Travel,Eco,844,2,4,2,1,1,2,1,1,4,5,4,3,5,1,0,0,neutral or dissatisfied
2161,68370,Female,Loyal Customer,53,Business travel,Business,1045,2,3,3,3,4,4,4,2,2,2,2,1,2,1,1,0,neutral or dissatisfied
2162,55039,Female,disloyal Customer,34,Business travel,Business,1635,2,2,2,3,5,2,2,5,3,2,5,3,5,5,18,29,neutral or dissatisfied
2163,31075,Female,Loyal Customer,50,Personal Travel,Eco,862,3,5,3,4,5,4,5,4,4,3,4,3,4,5,0,0,neutral or dissatisfied
2164,59279,Female,Loyal Customer,58,Business travel,Business,3365,4,4,4,4,2,2,2,4,3,5,5,2,4,2,0,0,satisfied
2165,48732,Male,Loyal Customer,35,Business travel,Business,3036,1,1,4,1,4,5,5,5,5,5,5,3,5,5,0,5,satisfied
2166,53180,Male,Loyal Customer,30,Business travel,Business,2560,3,3,3,3,5,5,5,5,1,5,1,2,5,5,48,47,satisfied
2167,67954,Female,Loyal Customer,9,Business travel,Business,2590,4,4,4,4,4,4,4,4,5,5,4,4,4,4,0,0,satisfied
2168,8392,Male,disloyal Customer,25,Business travel,Business,888,4,4,4,4,1,4,1,1,3,5,5,5,5,1,5,9,neutral or dissatisfied
2169,114716,Male,disloyal Customer,22,Business travel,Business,296,4,4,4,2,1,4,1,1,3,5,5,4,5,1,0,0,satisfied
2170,107364,Male,Loyal Customer,43,Personal Travel,Eco,632,4,5,4,3,2,4,2,2,4,4,5,3,4,2,0,0,neutral or dissatisfied
2171,71408,Male,Loyal Customer,55,Business travel,Eco,334,5,4,3,4,5,5,5,5,4,4,5,5,4,5,5,6,satisfied
2172,12810,Female,Loyal Customer,42,Business travel,Business,489,3,4,2,4,4,4,3,3,3,3,3,2,3,1,0,0,neutral or dissatisfied
2173,38887,Male,Loyal Customer,7,Personal Travel,Eco Plus,261,2,3,2,3,5,2,5,5,2,5,1,1,3,5,0,0,neutral or dissatisfied
2174,104589,Male,Loyal Customer,42,Business travel,Eco,369,5,4,4,4,5,5,5,5,2,5,5,5,4,5,0,0,satisfied
2175,128857,Male,Loyal Customer,50,Business travel,Business,2475,5,5,5,5,2,3,5,4,4,4,4,5,4,4,0,0,satisfied
2176,89318,Male,disloyal Customer,35,Business travel,Business,1587,3,3,3,4,5,3,5,5,5,5,4,3,4,5,0,0,neutral or dissatisfied
2177,70877,Male,Loyal Customer,17,Business travel,Eco Plus,761,1,2,2,2,1,1,1,1,2,4,3,3,4,1,0,0,neutral or dissatisfied
2178,46286,Male,Loyal Customer,34,Personal Travel,Eco Plus,679,2,4,2,1,5,2,5,5,4,3,5,3,4,5,13,36,neutral or dissatisfied
2179,50074,Male,Loyal Customer,46,Business travel,Eco,278,4,1,1,1,4,4,4,4,1,1,4,1,1,4,0,0,satisfied
2180,93205,Female,Loyal Customer,34,Business travel,Business,1756,3,3,3,3,2,3,5,4,4,4,4,3,4,4,2,26,satisfied
2181,99910,Male,Loyal Customer,64,Business travel,Business,1428,2,3,2,3,3,2,1,2,2,2,2,1,2,1,0,0,neutral or dissatisfied
2182,68804,Female,Loyal Customer,25,Personal Travel,Eco,1021,2,0,3,1,5,3,5,5,4,2,1,5,2,5,6,0,neutral or dissatisfied
2183,68097,Male,Loyal Customer,40,Business travel,Business,868,3,1,2,1,3,4,4,3,3,3,3,4,3,2,28,22,neutral or dissatisfied
2184,33132,Male,Loyal Customer,59,Personal Travel,Eco,201,3,3,3,4,3,3,3,3,3,4,3,2,3,3,13,13,neutral or dissatisfied
2185,18687,Female,Loyal Customer,13,Personal Travel,Eco,201,4,4,4,3,1,4,4,1,3,1,3,2,3,1,27,42,neutral or dissatisfied
2186,70854,Female,Loyal Customer,23,Business travel,Business,1607,3,3,1,1,3,3,3,3,1,5,2,4,3,3,4,0,neutral or dissatisfied
2187,14900,Female,Loyal Customer,23,Business travel,Business,315,1,1,1,1,4,4,4,4,2,3,4,4,4,4,28,67,satisfied
2188,122868,Female,Loyal Customer,16,Business travel,Business,2704,4,2,4,2,4,4,4,4,2,2,3,2,4,4,36,30,neutral or dissatisfied
